번호	카테고리(국문)	카테고리(영문)	기능	상세기능	소요기간	작업자	시작일자	완료예정일자	완료일자	지연일자	완료여부	비고
1	설계	Planning	볼륨 설계	AI 검색 모델 선정 및 데이터 구조(스키마) 설계	2	강광민	2026-01-20	2026-01-21	2026-01-21		완료	시스템 초기 기획
2	설계	Planning	수집 기획	카테고리별(뉴스, 쇼핑 등) 데이터 수집 및 매핑 계획	2	현승준	2026-01-20	2026-01-21	2026-01-21		완료	
3	설계	Planning	성능 기획	시스템 성능 목표 설정 및 서버 자원 할당 계획	1	강광민	2026-01-22	2026-01-22	2026-01-22		완료	
4	색인	Index	전체 색인	초기 대용량 데이터 수집 및 색인 파이프라인 구축	3	현승준	2026-01-23	2026-01-27	2026-01-27		완료	
5	색인	Index	파이프라인 고도화	초기 대용량 데이터 수집 및 색인 파이프라인 고도화	2	강광민	2026-01-28	2026-01-29	2026-01-29		완료	파이프라인 고도화
6	색인	Index	부분 색인	데이터 변경(생성/수정/삭제) 실시간 반영 로직 구현	2	강광민	2026-01-30	2026-02-02	2026-02-02		완료	
7	색인	Index	최적화	색인 데이터의 검색 반영 속도 최적화	1	강광민	2026-02-03	2026-02-03	2026-02-03		완료	
8	Index	Index	파일 색인	PDF, Office 문서 텍스트 추출 기능 구현	3	강광민	2026-01-28	2026-01-30	2026-01-30		완료	pdfplumber, docx 연동
9	Index	Index	파일 색인	HWPX 문서 텍스트 추출 기능 구현	1	현승준	2026-01-29	2026-01-29	2026-01-29		완료	
10	Index	Index	파일 색인	PDF 이미지 처리 기능 구현	1	현승준	2026-01-30	2026-01-30	2026-01-30		완료	
11	Index	Index	파일 색인	한글문서 텍스트 추출 기능 구현	2	강광민	2026-02-02	2026-02-03	2026-02-03		완료	hwp/hwpx 마커 연동
12	Index	Index	전처리	추출된 텍스트 LLM/RAG 용도로 전처리 기능 구현	2	현승준	2026-02-02	2026-02-03	2026-02-03		완료	
13	Index	Index	파일 색인	문서 본문 제어문자 방역 및 정제 처리	2	강광민	2026-02-04	2026-02-05	2026-02-05		완료	JSON 에러 원천 차단
14	Index	Index	OCR 고도화	이미지 인식률 향상을 위한 이미지 전처리 로직	3	현승준	2026-02-04	2026-02-06	2026-03-06		완료	인식률 개선 작업
15	Index	Index	파일 색인	Hash 기반 문서 내용 중복 색인 방지	2	강광민	2026-02-06	2026-02-09	2026-02-09		완료	DB 부하 방지용
16	Index	Index	OCR 고도화	OCR 엔진 연동 및 텍스트 추출 정확도 보정	5	현승준	2026-02-09	2026-02-13	2026-03-06		완료	정확도 보정 수정 진행
17	Index	Index	파일 색인	색인 데이터 및 파일명/확장자 교차 검증 및 중복 스킵 안전장치 구현	2	강광민	2026-02-10	2026-02-11	2026-02-11		완료	5단계 중복방지
18	Index	Index	파일 색인	대용량 Office 파일 파싱 텍스트 버퍼 확장 및 메모리 최적화	2	강광민	2026-02-12	2026-02-23	2026-02-23		완료	Excel 등 우선 처리
19	Index	Index	오탈자 교정	추출된 텍스트의 오탈자 자동 교정 처리	3	현승준	2026-02-23	2026-02-25	2026-03-09		완료	
20	Index	Index	파일 색인	규격화된 엑셀 더미 데이터 구축 및 업로드 교차 검증	3	강광민	2026-02-24	2026-02-26	2026-02-26		완료	검색 결과 검증 및 소스 수정
21	Index	Index	DB 색인	DB(Oracle, MySQL) 커넥터 설정 및 데이터 연동	2	현승준	2026-03-09	2026-03-10	2026-03-13		완료	PostgreSQL 연동 추가
22	Index	Index	시스템 가이드	종속성 라이브러리 가이드 작성 및 중간 테스트	2	현승준	2026-03-10	2026-03-13	2026-03-13		완료	실시간 일정 관리 함수 적용
23	Index	Index	DB 색인	주기적 데이터 수집을 위한 배치(Batch) 프로세스	3	현승준	2026-03-11	2026-03-13	2026-03-13		완료	
24	Index	Index	DB 색인	DB 다중접속 설정	1	현승준	2026-03-13	2026-03-13	2026-03-13		완료	oracle/mysql/mariadb/postgresql
25	Index	Index	DB 색인	.env 설정 추가	1	현승준	2026-03-13	2026-03-13	2026-03-13		완료	DB 접속정보 정리
26	Index	Index	DB 색인	docker-compose.yml 에 postgres 추가	1	현승준	2026-03-13	2026-03-13	2026-03-13		완료	
27	Index	Index	DB 색인	대용량 DB 조회 시 부하 방지를 위한 분할 수집	2	현승준	2026-03-16	2026-03-17	2026-03-17		완료	
28	Index	Index	파일 스케줄	파일 시스템 변경 감지 및 자동 색인 스케줄러	4	현승준	2026-03-18	2026-03-23	2026-03-23		완료	
29	Index	Index	복구 로직	네트워크 단절 시 자동 재연결 및 복구 로직	2	현승준	2026-03-24	2026-03-25	2026-03-25		완료	
30	Index	Index	파일 색인	사내 파일 공유 서버(SMB/CIFS) 연동 및 권한 설정	3	현승준	2026-04-23	2026-04-27			예정	회의 이후 일정으로 재배치
31	Search	Search	전체 검색	키워드 검색과 AI(벡터) 검색 결합 하이브리드 엔진 구현	4	강광민	2026-03-03	2026-03-06	2026-03-06		완료	
32	Search	Index	AI 임베딩	임베딩 모델 로딩 정책 조정(서버 기동 시 선로딩)	1	강광민	2026-03-09	2026-03-09	2026-03-09		완료	초기 검색 지연 최소화
33	Search	Search	전처리	검색어 전처리(불용어 처리 및 형태소 분석) 설정	2	강광민	2026-03-09	2026-03-10	2026-03-10		완료	
34	Search	Search	검색 옵션	상세 검색(필수 포함/제외 단어) 필터 기능	2	강광민	2026-03-11	2026-03-12	2026-03-12		완료	include/exclude 적용
35	Search	Search	재검색	결과 내 재검색(기간, 작성자, 확장자별 필터) 구현	3	강광민	2026-03-13	2026-03-17	2026-03-17		완료	bool-filter 로직
36	Search	Search	기간 필터	특정 날짜 및 기간 범위 검색 기능	2	강광민	2026-03-18	2026-03-19	2026-03-19		완료	start/end_date 연동
37	Search	Search	가중치	항목별(제목, 내용 등) 중요도 가중치 부여 로직	3	강광민	2026-03-20	2026-03-24	2026-03-24		완료	Title 20배, 본문 5배
38	Search	Search	정확도 조정	검색 정확도 테스트 및 결과 순위(Scoring) 조정	3	강광민	2026-03-25	2026-03-27	2026-03-27		완료	자동평가 스크립트 기반 튜닝
39	Search	Search	성능/안정성	OpenSearch 연결 싱글톤 강화(스레드 안전 락 적용)	1	강광민	2026-03-25	2026-03-25	2026-03-25		완료	동시요청 초기화 충돌 방지
40	Search	Search	성능/안정성	OpenSearch 커넥션 풀/재시도/SSL 옵션 환경변수 외부화	1	강광민	2026-03-26	2026-03-26	2026-03-26		완료	운영 환경 튜닝 가능
41	Search	Search	오타 교정	오타 및 잘못된 검색어 자동 교정 알고리즘 적용	4	강광민	2026-03-30	2026-04-02	2026-04-02		완료	hanspell 연동
42	Search	Search	오타 교정	맞춤법 호출 정책 재조정(임의 2초 제한 원복)	1	강광민	2026-04-03	2026-04-03	2026-04-03		완료	업무 요구사항 반영
43	Search	Search	추천 검색	사용자 맞춤형 추천 검색어 제안 로직	2	강광민	2026-04-03	2026-04-06	2026-04-06		완료	API 및 DB 연동 조기 완료
44	Util	Util	사용자 편의	사용자별 최근 검색어 저장 및 관리 API	2	강광민	2026-04-07	2026-04-08	2026-04-08		완료	단건/전체삭제 포함
45	Util	Util	통계 노출	실시간/일간 인기 검색어 집계 및 노출	3	강광민	2026-04-09	2026-04-13	2026-04-13		완료	terms aggs UI 연동
46	Util	Util	자동완성	초성 및 키워드 기반 자동완성 기능 구현	3	강광민	2026-04-14	2026-04-16	2026-04-16		완료	chosung_text 적용
47	Util	Util	연관 검색	연관 검색어 산출 및 추천 알고리즘 적용	4	강광민	2026-04-17	2026-04-24	2026-04-28		완료	related/recommend API 및 서비스 로직 반영 확인
48	System	System	관리자 기능	관리자 계정 권한(RBAC) 및 메뉴 접근 제어	3	현승준	2026-02-25	2026-02-27	2026-02-27		완료	
49	System	System	볼륨/SSL	웹 UI 기반의 검색 볼륨 생성 및 설정 자동화	4	현승준	2026-03-03	2026-03-06	2026-03-06		완료	
50	System	System	구조 개선	역할 기준 폴더 분리	1	강광민	2026-03-24	2026-03-24	2026-03-24		완료	도메인 및 역할 기준
51	System	System	구조 개선	URL 프리픽스 일치	1	강광민	2026-03-25	2026-03-25	2026-03-25		완료	API 엔드포인트 일관성
52	System	System	구조 개선	공통 로직 분리	1	강광민	2026-03-26	2026-03-26	2026-03-26		완료	중복 코드 제거
53	System	Admin	관리자 기능	관리자 UI 구조 개편 설계 및 탭 분리 기준 정의	1	현승준	2026-03-24	2026-03-24	2026-03-24		완료	운영 UI 모듈화 설계
54	System	Admin	관리자 기능	관리자 탭 화면 분리 구현(업로드/문서/로그/대시보드)	2	현승준	2026-03-25	2026-03-26	2026-03-26		완료	단일 대형 페이지 분해
55	System	Admin	관리자 기능	메뉴 분리 및 탭 동적 로딩 방식 적용	1	현승준	2026-03-26	2026-03-26	2026-03-26		완료	유지보수성 향상
56	System	Admin	관리자 기능	관리자 정적 리소스 경로 정리 및 레거시 파일 정비	1	현승준	2026-03-27	2026-03-27	2026-03-27		완료	운영 경로 단순화
57	System	System	사전 관리	동의어/불용어/사용자 사전 엑셀 업로드 및 관리	3	현승준	2026-03-26	2026-03-30	2026-03-30		완료	
58	System	System	사전 관리	서비스 중단 없는 사전 데이터 실시간 반영 로직	4	현승준	2026-03-31	2026-04-03	2026-04-03		완료	
59	System	System	볼륨/SSL	SSL 인증서 설치 현황 관리 및 만료 알림 시스템	3	현승준	2026-04-06	2026-04-08	2026-04-08		완료	
60	System	System	볼륨/SSL	인증서 갱신 및 경로 설정 자동화 스크립트	3	현승준	2026-04-09	2026-04-13	2026-04-13		완료	
61	System	System	관리자 기능	검색 트렌드 및 통계 시각화 대시보드 구축	5	현승준	2026-04-14	2026-04-24	2026-04-28		완료	관리자 dashboard 차트/지표/스모크 실행 UI 반영 확인
62	System	System	실패 추적	검색 실패어(결과 없음) 추적 및 관리 기능	3	강광민	2026-04-23	2026-04-29	2026-04-28		완료	failed-keywords 및 failed-analysis API/관리 화면 반영
63	System	System	UI/UX	검색창 및 결과 리스트 화면 퍼블리싱	5	강광민	2026-04-30	2026-05-11	2026-04-28		완료	사용자 검색 화면(static/user/index.html) 반영 확인
64	System	System	UI/UX	태블릿 중심 반응형 레이아웃 및 페이징 처리	4	강광민	2026-05-12	2026-05-19	2026-04-28		완료	페이지네이션 및 반응형 미디어쿼리 적용 확인
65	System	UI/UX	사용자 편의	프론트 요청 지연 안내 메시지 적용(강제 중단 대신 안내)	1	강광민	2026-05-20	2026-05-20	2026-04-28		완료	apiSlowNotice 지연 안내 메시지 로직 반영
66	System	Ops	운영 품질	favicon 및 브라우저 자동 probe 요청 404 저감 처리	1	강광민	2026-05-21	2026-05-21	2026-04-28		완료	/favicon.ico 및 chrome devtools probe 204 처리 적용
67	System	QA	검증	구조변경 후 라우팅/정적파일/앱 로딩 스모크 검증	1	강광민	2026-05-22	2026-05-22	2026-04-28		완료	/ops/run-smoke-test API 및 대시보드 실행 경로 확인
68	Index	Index	DB 색인	DB 접속정보 dbeaver 방식으로 변경	1	현승준	2026-04-21	2026-04-23			진행중	접속 표준화
69	Index	Index	파일 색인	smb/ssh 구분 접속 가능하도록 변경	3	현승준	2026-04-22	2026-04-28			진행중	폴더 감지 방식 조사 포함
70	Index	Index	DB 색인	DB 색인 시 view 쿼리 대신 뷰테이블 조회 기반으로 변경	1	현승준	2026-04-29	2026-04-30			예정	색인 안정성 개선
71	System	Planning	볼륨 설계	볼륨 생성 후 검색 병렬 처리 되도록 개선	2	현승준	2026-05-04	2026-05-07			예정	성능 목표 반영
72	System	QA	검증	취약점 점검 및 테스트	1	현승준	2026-05-08	2026-05-08	2026-04-28		완료	OWASP/국정원 기준 보안패치 및 회귀테스트 완료
73	System	Admin	관리자 기능	대시보드 노출 항목 변경	2	강광민	2026-04-13	2026-04-14	2026-04-14		완료	
74	System	UI/UX	사용자 편의	관리자페이지 메뉴 뎁스 조절	1	강광민	2026-04-15	2026-04-15	2026-04-15		완료	최대 2뎁스
75	Index	Index	파일 스케줄	스케줄러+파일색인 / 스케줄러+DB색인 메뉴 통합	2	현승준	2026-05-11	2026-05-14			예정	관리자 운영 단순화
76	System	UI/UX	사용자 편의	웹 접근성(WA) 표준 준수 및 스크린리더 최적화	2	강광민	2026-04-10	2026-04-13	2026-04-13		완료	aria-hidden 및 중복 태그 정리
77	Admin	Admin	파일 업로드	다중 파일 순차 업로드 큐(Queue) 및 화면 잠금 UI 적용	2	강광민	2026-04-08	2026-04-09	2026-04-09		완료	브라우저 과부하 방지
78	Admin	Admin	관리자 기능	대시보드 스모크 테스트 시 오버레이 레이아웃 고도화	1	강광민	2026-04-13	2026-04-13	2026-04-13		완료	Z-index/여백 충돌 해결
79	Index	Index	파일 색인	SMB 네트워크 드라이브 감지 에이전트 설계 및 구현	3	현승준	2026-04-09	2026-04-13	2026-04-13		완료	메모리 기반 파일 목록 대조
80	Admin	Admin	파일 업로드	웹 파일 업로드 비동기 UI 폐기 및 동기 폼 방식 원복	1	강광민	2026-04-23	2026-04-23	2026-04-28		완료	fetch 제거 및 form submit+iframe 동기 업로드 전환 검증
81	System	UI/UX	보안/UI	Chart.js 등 외부 CDN 라이브러리 로컬 다운로드 및 적용	1	강광민	2026-04-24	2026-04-24	2026-04-28		완료	관리자/사용자 화면 로컬 vendor 전환 및 스모크 검증(8010)
82	System	UI/UX	대시보드	데모 시연용 대시보드 및 UI/UX 전면 정비	2	강광민	2026-04-25	2026-04-28			예정	색감/여백/정렬/차트 정비
83	System	UI/UX	반응형	태블릿 및 구형 모니터(720p) 기준 반응형 레이아웃 구현	2	강광민	2026-04-29	2026-05-01	2026-04-28		완료	관리자 1100/720 브레이크포인트 및 drawer 반응형 반영
84	Index	Index	파일 색인	SMB/CIFS 실제 경로 권한 검증 및 운영 시나리오 확정	2	현승준	2026-05-04	2026-05-06			예정	회의 후 추가 누락본 반영
85	Index	Index	파일 색인	SMB/SSH 접속 어댑터 통합 및 예외 처리 표준화	3	현승준	2026-05-07	2026-05-12			예정	에러 대응 공통화
86	System	Agent	에이전트	파일 감지 기준(타임스탬프/캐시) 및 중단 복구 정책 확정	2	강광민/현승준	2026-05-13	2026-05-15			예정	핵심 아키텍처 정리
87	System	Architecture	구조 분리	업로드(편의)와 색인(핵심) 로직 분리 적용	2	강광민/현승준	2026-05-18	2026-05-20			예정	책임 경계 명확화
88	System	Ops	WAS 통합	WAS 통합 기동 및 핵심 시나리오(로그인/검색/업로드/스케줄) 검증	2	강광민/현승준	2026-05-21	2026-05-25			예정	통합 안정성 검증
89	System	UI/UX	데모 품질	데모 화면 최종 폴리싱(정렬/가독성/차트 표현)	2	강광민	2026-05-26	2026-05-28			예정	시연 품질 고도화
90	System	PM	문서화	스펙/소개 PPT 정리(구조/리스크/비용/데모 흐름)	1	강광민/현승준	2026-05-29	2026-05-29			예정	발표용 초안
